"","BTC_precio","ORO_precio","SP500_precio","EURO_precio","NIKKEI_precio","IRX","VIX"
"2019-11-15",8491.9921875,138.210006713867,3120.4599609375,3711.61010742188,23303.3203125,1.52799999713898,12.0500001907349
"2019-11-18",8309.2861328125,138.619995117188,3122.03002929688,3704.919921875,23416.759765625,1.52300000190735,12.460000038147
"2019-11-19",8206.1455078125,138.690002441406,3120.17993164062,3696.56005859375,23292.650390625,1.52499997615814,12.8599996566772
"2019-11-20",8027.26806640625,138.759994506836,3108.4599609375,3683.8798828125,23148.5703125,1.51999998092651,12.7799997329712
"2019-11-21",7642.75,138,3103.5400390625,3679.65991210938,23038.580078125,1.52999997138977,13.1300001144409
"2019-11-22",7296.57763671875,137.740005493164,3110.2900390625,3687.32006835938,23112.880859375,1.54299998283386,12.3400001525879
"2019-11-25",7146.1337890625,137.080001831055,3133.63989257812,3707.67993164062,23292.810546875,1.54499995708466,11.8699998855591
"2019-11-26",7218.37109375,137.740005493164,3140.52001953125,3705.55004882812,23373.3203125,1.56500005722046,11.539999961853
"2019-11-27",7531.66357421875,137.009994506836,3153.6298828125,3712.85009765625,23437.76953125,1.56500005722046,11.75
"2019-11-29",7761.24365234375,137.860000610352,3140.97998046875,3703.580078125,23293.91015625,1.53999996185303,12.6199998855591
"2019-12-02",7321.98828125,137.789993286133,3113.8701171875,3626.65991210938,23529.5,1.53799998760223,14.9099998474121
"2019-12-03",7320.1455078125,139.110000610352,3093.19995117188,3610.98999023438,23379.810546875,1.53799998760223,15.960000038147
"2019-12-04",7252.03466796875,138.919998168945,3112.76000976562,3660.02001953125,23135.23046875,1.49800002574921,14.8000001907349
"2019-12-05",7448.3076171875,139,3117.42993164062,3648.1298828125,23300.08984375,1.49300003051758,14.5200004577637
"2019-12-06",7546.99658203125,137.619995117188,3145.90991210938,3692.34008789062,23354.400390625,1.48000001907349,13.6199998855591
"2019-12-09",7400.8994140625,137.580001831055,3135.9599609375,3672.17993164062,23430.69921875,1.49800002574921,15.8599996566772
"2019-12-10",7278.11962890625,137.970001220703,3132.52001953125,3671.78002929688,23410.189453125,1.51499998569489,15.6800003051758
"2019-12-11",7217.42724609375,138.919998168945,3141.6298828125,3687.44995117188,23391.859375,1.51999998092651,14.9899997711182
"2019-12-12",7243.13427734375,138.429992675781,3168.57006835938,3706.35009765625,23424.810546875,1.52999997138977,13.9399995803833
"2019-12-13",7269.6845703125,139.050003051758,3168.80004882812,3731.07006835938,24023.099609375,1.52300000190735,12.6300001144409
"2019-12-16",6932.48046875,139.039993286133,3191.44995117188,3772.73999023438,23952.349609375,1.52499997615814,12.1400003433228
"2019-12-17",6640.51513671875,139.009994506836,3192.52001953125,3745.28002929688,24066.119140625,1.52999997138977,12.289999961853
"2019-12-18",7276.802734375,139.020004272461,3191.13989257812,3739,23934.4296875,1.51800000667572,12.5799999237061
"2019-12-19",7202.84423828125,139.380004882812,3205.3701171875,3739.169921875,23864.849609375,1.53299999237061,12.5
"2019-12-20",7218.81640625,139.520004272461,3221.21997070312,3776.56005859375,23816.630859375,1.52799999713898,12.5100002288818
"2019-12-23",7355.62841796875,139.949996948242,3224.01000976562,3776.65991210938,23821.109375,1.51999998092651,12.6099996566772
"2019-12-27",7290.08837890625,142.330001831055,3240.02001953125,3782.27001953125,23837.720703125,1.51800000667572,13.4300003051758
"2019-12-30",7292.9951171875,142.630004882812,3221.2900390625,3748.46997070312,23656.619140625,1.49000000953674,14.8199996948242
"2020-01-06",7769.21923828125,147.389999389648,3246.28002929688,3752.52001953125,23204.859375,1.48800003528595,13.8500003814697
"2020-01-07",8163.6923828125,147.970001220703,3237.17993164062,3759.25,23575.720703125,1.5,13.789999961853
"2020-01-08",8079.86279296875,146.860000610352,3253.05004882812,3772.56005859375,23204.759765625,1.49300003051758,13.4499998092651
"2020-01-09",7879.0712890625,146.029998779297,3274.69995117188,3795.8798828125,23739.869140625,1.5,12.539999961853
"2020-01-10",8166.55419921875,146.910003662109,3265.35009765625,3789.52001953125,23850.5703125,1.49800002574921,12.5600004196167
"2020-01-14",8827.7646484375,145.690002441406,3283.14990234375,3774.8798828125,24025.169921875,1.52999997138977,12.3900003433228
"2020-01-15",8807.0107421875,146.539993286133,3289.2900390625,3768.9599609375,23916.580078125,1.50800001621246,12.4200000762939
"2020-01-16",8723.7861328125,146.309997558594,3316.81005859375,3774.13989257812,23933.130859375,1.51800000667572,12.3199996948242
"2020-01-17",8929.0380859375,146.580001831055,3329.6201171875,3808.26000976562,24041.259765625,1.52300000190735,12.1000003814697
"2020-01-21",8745.89453125,146.740005493164,3320.7900390625,3789.1201171875,23864.560546875,1.50300002098083,12.8500003814697
"2020-01-22",8680.8759765625,146.789993286133,3321.75,3769.7900390625,24031.349609375,1.51300001144409,12.9099998474121
"2020-01-23",8406.515625,147.119995117188,3325.5400390625,3736.85009765625,23795.439453125,1.51499998569489,12.9799995422363
"2020-01-24",8445.4345703125,147.979995727539,3295.46997070312,3779.15991210938,23827.1796875,1.49000000953674,14.5600004196167
"2020-01-27",8909.8193359375,148.990005493164,3243.6298828125,3677.84008789062,23343.509765625,1.50499999523163,18.2299995422363
"2020-01-28",9358.58984375,147.660003662109,3276.23999023438,3719.21997070312,23215.7109375,1.52999997138977,16.2800006866455
"2020-01-29",9316.6298828125,148.460006713867,3273.39990234375,3736.36010742188,23379.400390625,1.51999998092651,16.3899993896484
"2020-01-30",9508.9931640625,148.470001220703,3283.65991210938,3690.78002929688,22977.75,1.52799999713898,15.4899997711182
"2020-01-31",9350.529296875,149.330001831055,3225.52001953125,3640.90991210938,23205.1796875,1.50999999046326,18.8400001525879
"2020-02-03",9293.521484375,148.360000610352,3248.919921875,3661.27001953125,22971.939453125,1.51800000667572,17.9699993133545
"2020-02-04",9180.962890625,146.429992675781,3297.59008789062,3732.28002929688,23084.58984375,1.53799998760223,16.0499992370605
"2020-02-05",9613.423828125,146.610000610352,3334.68994140625,3777.84008789062,23319.560546875,1.51999998092651,15.1499996185303
"2020-02-06",9729.8017578125,147.399993896484,3345.78002929688,3805.52001953125,23873.58984375,1.52999997138977,14.960000038147
"2020-02-07",9795.943359375,147.789993286133,3327.7099609375,3798.48999023438,23827.98046875,1.51800000667572,15.4700002670288
"2020-02-10",9856.611328125,148.169998168945,3352.09008789062,3793.17993164062,23685.98046875,1.51999998092651,15.039999961853
"2020-02-12",10326.0546875,147.539993286133,3379.44995117188,3854.42993164062,23861.2109375,1.5349999666214,13.7399997711182
"2020-02-13",10214.3798828125,148.380004882812,3373.93994140625,3846.73999023438,23827.73046875,1.54499995708466,14.1499996185303
"2020-02-14",10312.1162109375,149,3380.15991210938,3840.96997070312,23687.58984375,1.5349999666214,13.6800003051758
"2020-02-18",10141.99609375,150.910003662109,3370.2900390625,3836.5400390625,23193.80078125,1.5349999666214,14.8299999237061
"2020-02-19",9633.38671875,151.789993286133,3386.14990234375,3865.17993164062,23400.69921875,1.54299998283386,14.3800001144409
"2020-02-20",9608.4755859375,152.410003662109,3373.22998046875,3822.97998046875,23479.150390625,1.53799998760223,15.5600004196167
"2020-02-21",9686.44140625,154.699996948242,3337.75,3800.3798828125,23386.740234375,1.51800000667572,17.0799999237061
"2020-02-25",9341.705078125,153.300003051758,3128.2099609375,3572.51000976562,22605.41015625,1.49000000953674,27.8500003814697
"2020-02-26",8820.5224609375,153.970001220703,3116.38989257812,3577.67993164062,22426.189453125,1.47800004482269,27.5599994659424
"2020-02-27",8784.494140625,154,2978.76000976562,3455.919921875,21948.23046875,1.39499998092651,39.1599998474121
"2020-02-28",8672.455078125,148.380004882812,2954.21997070312,3329.48999023438,21142.9609375,1.23000001907349,40.1100006103516
"2020-03-02",8869.669921875,149.199996948242,3090.22998046875,3338.830078125,21344.080078125,1.13499999046326,33.4199981689453
"2020-03-03",8787.7861328125,153.889999389648,3003.3701171875,3371.96997070312,21082.73046875,0.917999982833862,36.8199996948242
"2020-03-04",8755.24609375,154.160003662109,3130.1201171875,3420.56005859375,21100.060546875,0.675000011920929,31.9899997711182
"2020-03-05",9078.7626953125,157.490005493164,3023.93994140625,3363.580078125,21329.119140625,0.595000028610229,39.6199989318848
"2020-03-06",9122.5458984375,157.550003051758,2972.3701171875,3232.07006835938,20749.75,0.41499999165535,41.939998626709
"2020-03-09",7923.64453125,157.809997558594,2746.56005859375,2959.07006835938,19698.759765625,0.330000013113022,54.4599990844727
"2020-03-10",7909.7294921875,154.479995727539,2882.22998046875,2910.02001953125,19867.119140625,0.389999985694885,47.2999992370605
"2020-03-11",7911.43017578125,153.929992675781,2741.3798828125,2905.56005859375,19416.060546875,0.368000000715256,53.9000015258789
"2020-03-12",4970.7880859375,147.789993286133,2480.63989257812,2545.22998046875,18559.630859375,0.273000001907349,75.4700012207031
"2020-03-13",5563.70703125,143.279998779297,2711.02001953125,2586.02001953125,17431.05078125,0.243000000715256,57.8300018310547
"2020-03-16",5014.47998046875,141.639999389648,2386.1298828125,2450.3701171875,17002.0390625,0.185000002384186,82.6900024414062
"2020-03-17",5225.62939453125,143.559997558594,2529.18994140625,2530.5,17011.529296875,0.165000006556511,75.9100036621094
"2020-03-18",5238.4384765625,140.699996948242,2398.10009765625,2385.82006835938,16726.55078125,0.00300000002607703,76.4499969482422
"2020-03-19",6191.19287109375,138.039993286133,2409.38989257812,2454.080078125,16552.830078125,-0.0280000008642673,72
"2020-03-23",6416.31494140625,146.300003051758,2237.39990234375,2485.5400390625,16887.779296875,-0.0399999991059303,61.5900001525879
"2020-03-24",6734.8037109375,153.399993896484,2447.330078125,2715.11010742188,18092.349609375,-0.0329999998211861,61.6699981689453
"2020-03-25",6681.06298828125,151.300003051758,2475.56005859375,2800.13989257812,19546.630859375,-0.0700000002980232,63.9500007629395
"2020-03-26",6716.4404296875,153.240005493164,2630.07006835938,2847.78002929688,18664.599609375,-0.104999996721745,61
"2020-03-27",6469.79833984375,152.25,2541.46997070312,2728.64990234375,19389.4296875,-0.0579999983310699,65.5400009155273
"2020-03-30",6429.841796875,152.919998168945,2626.64990234375,2765.6201171875,19084.970703125,0.0130000002682209,57.0800018310547
"2020-03-31",6438.64453125,148.050003051758,2584.59008789062,2786.89990234375,18917.009765625,0.0299999993294477,53.5400009155273
"2020-04-01",6606.7763671875,149.449996948242,2470.5,2680.30004882812,18065.41015625,0.063000001013279,57.060001373291
"2020-04-02",6793.62451171875,151.899993896484,2526.89990234375,2688.48999023438,17818.720703125,0.0649999976158142,50.9099998474121
"2020-04-03",6733.38720703125,152.649993896484,2488.64990234375,2662.98999023438,17820.189453125,0.0579999983310699,46.7999992370605
"2020-04-06",7271.78125,156.880004882812,2663.67993164062,2795.96997070312,18576.30078125,0.0599999986588955,45.2400016784668
"2020-04-07",7176.41455078125,156.039993286133,2659.40991210938,2857.669921875,18950.1796875,0.128000006079674,46.7000007629395
"2020-04-08",7334.0986328125,154.649993896484,2749.97998046875,2851.27001953125,19353.240234375,0.185000002384186,43.3499984741211
"2020-04-09",7302.08935546875,158.690002441406,2789.82006835938,2892.7900390625,19345.76953125,0.209999993443489,41.6699981689453
"2020-04-14",6842.427734375,162.679992675781,2846.06005859375,2917.73999023438,19638.810546875,0.165000006556511,37.7599983215332
"2020-04-15",6642.10986328125,161.850006103516,2783.36010742188,2808.19995117188,19550.08984375,0.115000002086163,40.8400001525879
"2020-04-16",7116.80419921875,161.710006713867,2799.55004882812,2812.35009765625,19290.19921875,0.109999999403954,40.1100006103516
"2020-04-17",7096.1845703125,158.570007324219,2874.56005859375,2888.30004882812,19897.259765625,0.103000000119209,38.1500015258789
"2020-04-20",6881.95849609375,159.699996948242,2823.15991210938,2909.5,19669.119140625,0.0700000002980232,43.8300018310547
"2020-04-21",6880.3232421875,158.610000610352,2736.56005859375,2791.34008789062,19280.779296875,0.0979999974370003,45.4099998474121
"2020-04-22",7117.20751953125,161.729995727539,2799.31005859375,2834.89990234375,19137.94921875,0.0930000022053719,41.9799995422363
"2020-04-23",7429.724609375,163.339996337891,2797.80004882812,2852.4599609375,19429.439453125,0.0930000022053719,41.3800010681152
"2020-04-24",7550.90087890625,162.639999389648,2836.73999023438,2809.07006835938,19262,0.100000001490116,35.9300003051758
"2020-04-27",7795.60107421875,161.559997558594,2878.47998046875,2882.09008789062,19783.220703125,0.0930000022053719,33.2900009155273
"2020-04-28",7807.05859375,160.839996337891,2863.38989257812,2932.06005859375,19771.189453125,0.0850000008940697,33.5699996948242
"2020-04-30",8658.5537109375,158.800003051758,2912.42993164062,2927.92993164062,20193.689453125,0.0900000035762787,34.1500015258789
"2020-05-07",9951.5185546875,161.389999389648,2881.18994140625,2880.60009765625,19674.76953125,0.0949999988079071,31.4400005340576
"2020-05-08",9842.666015625,160.419998168945,2929.80004882812,2908.11010742188,20179.08984375,0.0949999988079071,27.9799995422363
"2020-05-11",8601.7958984375,159.419998168945,2930.18994140625,2883.75,20390.66015625,0.104999996721745,27.5699996948242
"2020-05-12",8804.4775390625,160.039993286133,2870.1201171875,2884.19995117188,20366.48046875,0.123000003397465,33.0400009155273
"2020-05-13",9269.9873046875,161.580001831055,2820,2810.55004882812,20267.05078125,0.115000002086163,35.2799987792969
"2020-05-14",9733.7216796875,163.009994506836,2852.5,2760.22998046875,19914.779296875,0.104999996721745,32.6100006103516
"2020-05-15",9328.197265625,163.929992675781,2863.69995117188,2770.69995117188,20037.470703125,0.103000000119209,31.8899993896484
"2020-05-18",9726.5751953125,162.690002441406,2953.90991210938,2911.8798828125,20133.73046875,0.104999996721745,29.2999992370605
"2020-05-19",9729.0380859375,164.259994506836,2922.93994140625,2902.580078125,20433.44921875,0.118000000715256,30.5300006866455
